id,city,site_name,site,state,query_name,to_date,to_time,from_date,from_time,pm25,pm10,SO2,CO,Ozone
1,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20160101,02-Jan-2016,00:00,01-Jan-2016,00:00,360.81,750.91,33.15,3.13,14.74
2,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20160103,04-Jan-2016,00:00,03-Jan-2016,00:00,341.32,651.71,22.83,2.57,15.67
3,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20160105,06-Jan-2016,00:00,05-Jan-2016,00:00,433.35,847.84,38.65,3.58,32.07
4,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20160107,08-Jan-2016,00:00,07-Jan-2016,00:00,468.02,743.11,34.02,3.39,27.8
5,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20160109,10-Jan-2016,00:00,09-Jan-2016,00:00,169.49,480.58,16.1,2.2,14.09
6,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20160111,12-Jan-2016,00:00,11-Jan-2016,00:00,413.43,681.95,22.66,3.13,46.76
7,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20160113,14-Jan-2016,00:00,13-Jan-2016,00:00,313.12,510.53,16.84,1.67,14.99
8,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20160115,16-Jan-2016,00:00,15-Jan-2016,00:00,182.75,345.29,13.33,1.22,10.86
9,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20160117,18-Jan-2016,00:00,17-Jan-2016,00:00,200.17,387.12,20.76,1.3,15.08
10,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20160119,20-Jan-2016,00:00,19-Jan-2016,00:00,322.07,566.42,13.02,1.38,9.67
